"sample_time","device_data"
"1638907978883","{""humidity"":{""N"":""0.98877""},""PM10"":{""N"":""6.1""},""temp"":{""N"":""4.985882""},""PM25"":{""N"":""2.8""}}"
"1638954670362","{""humidity"":{""N"":""0.709087""},""PM10"":{""N"":""11.8""},""temp"":{""N"":""6.239414""},""PM25"":{""N"":""1.3""}}"
"1639270956412","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""17""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""4.2""}}"
"1638861296316","{""humidity"":{""N"":""0.862907""},""PM10"":{""N"":""4.1""},""temp"":{""N"":""3.016979""},""PM25"":{""N"":""1.6""}}"
"1639263770397","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""19.8""},""temp"":{""N"":""10.09195""},""PM25"":{""N"":""8""}}"
"1639252994087","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""8.3""},""temp"":{""N"":""9.135826""},""PM25"":{""N"":""3.1""}}"
"1639013923281","{""humidity"":{""N"":""0.729154""},""PM10"":{""N"":""9""},""temp"":{""N"":""5.754292""},""PM25"":{""N"":""2.3""}}"
"1638961855793","{""humidity"":{""N"":""0.637483""},""PM10"":{""N"":""5.4""},""temp"":{""N"":""8.308472""},""PM25"":{""N"":""1.9""}}"
"1638805662239","{""humidity"":{""N"":""0.836754""},""PM10"":{""N"":""3.4""},""temp"":{""N"":""7.490463""},""PM25"":{""N"":""1.6""}}"
"1638843341653","{""humidity"":{""N"":""0.921866""},""PM10"":{""N"":""2.8""},""temp"":{""N"":""1.313049""},""PM25"":{""N"":""1.3""}}"
"1638918752427","{""humidity"":{""N"":""0.876817""},""PM10"":{""N"":""14.9""},""temp"":{""N"":""4.548645""},""PM25"":{""N"":""1.7""}}"
"1639326628597","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""3.5""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""1.8""}}"
"1638945690270","{""humidity"":{""N"":""0.778675""},""PM10"":{""N"":""5.6""},""temp"":{""N"":""4.811333""},""PM25"":{""N"":""1.1""}}"
"1639085756057","{""humidity"":{""N"":""0.944884""},""PM10"":{""N"":""4.7""},""temp"":{""N"":""7.41835""},""PM25"":{""N"":""2.3""}}"
"1638850521322","{""humidity"":{""N"":""0.91446""},""PM10"":{""N"":""2.9""},""temp"":{""N"":""1.414917""},""PM25"":{""N"":""1.1""}}"
"1638963651691","{""humidity"":{""N"":""0.643696""},""PM10"":{""N"":""29.7""},""temp"":{""N"":""8.516788""},""PM25"":{""N"":""2.9""}}"
"1638895413745","{""humidity"":{""N"":""0.979715""},""PM10"":{""N"":""11.6""},""temp"":{""N"":""5.35273""},""PM25"":{""N"":""2.4""}}"
"1639082164878","{""humidity"":{""N"":""0.903284""},""PM10"":{""N"":""16.2""},""temp"":{""N"":""7.439335""},""PM25"":{""N"":""2.7""}}"
"1639269159590","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""26""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""3.8""}}"
"1639224260649","{""humidity"":{""N"":""0.736086""},""PM10"":{""N"":""9.1""},""temp"":{""N"":""7.673409""},""PM25"":{""N"":""3.3""}}"
"1639001355074","{""humidity"":{""N"":""0.726134""},""PM10"":{""N"":""3.8""},""temp"":{""N"":""5.889736""},""PM25"":{""N"":""1.2""}}"
"1639140732725","{""humidity"":{""N"":""0.674276""},""PM10"":{""N"":""11.5""},""temp"":{""N"":""6.702976""},""PM25"":{""N"":""2.5""}}"
"1639287121027","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""21.3""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""4.2""}}"
"1639204500876","{""humidity"":{""N"":""0.927933""},""PM10"":{""N"":""9.7""},""temp"":{""N"":""2.143646""},""PM25"":{""N"":""2.9""}}"
"1639332015058","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""8.3""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""3.2""}}"
"1639131750488","{""humidity"":{""N"":""0.760187""},""PM10"":{""N"":""4.2""},""temp"":{""N"":""5.393551""},""PM25"":{""N"":""1.7""}}"
"1639396668879","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""6.6""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""1.1""}}"
"1639026495473","{""humidity"":{""N"":""0.73999""},""PM10"":{""N"":""3.2""},""temp"":{""N"":""4.801792""},""PM25"":{""N"":""1.2""}}"
"1639179361402","{""humidity"":{""N"":""0.865662""},""PM10"":{""N"":""19.7""},""temp"":{""N"":""2.422359""},""PM25"":{""N"":""3.2""}}"
"1638881053683","{""humidity"":{""N"":""0.891753""},""PM10"":{""N"":""15.1""},""temp"":{""N"":""7.309044""},""PM25"":{""N"":""4""}}"
"1639155203421","{""humidity"":{""N"":""0.686737""},""PM10"":{""N"":""7.3""},""temp"":{""N"":""6.341663""},""PM25"":{""N"":""2.6""}}"
"1639158012774","{""humidity"":{""N"":""0.725363""},""PM10"":{""N"":""7.9""},""temp"":{""N"":""5.743801""},""PM25"":{""N"":""2.4""}}"
"1639348180276","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""6.2""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""1.9""}}"
"1638863091914","{""humidity"":{""N"":""0.866283""},""PM10"":{""N"":""8.9""},""temp"":{""N"":""3.300457""},""PM25"":{""N"":""1.8""}}"
"1639078573399","{""humidity"":{""N"":""0.915726""},""PM10"":{""N"":""8.5""},""temp"":{""N"":""7.047501""},""PM25"":{""N"":""3.1""}}"
"1639231443925","{""humidity"":{""N"":""0.796804""},""PM10"":{""N"":""13""},""temp"":{""N"":""7.857117""},""PM25"":{""N"":""2.9""}}"
"1639402056582","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""4.8""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""2.1""}}"
"1639105504465","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""9.3""},""temp"":{""N"":""6.493134""},""PM25"":{""N"":""1.7""}}"
"1638886441013","{""humidity"":{""N"":""0.905947""},""PM10"":{""N"":""13.3""},""temp"":{""N"":""7.752193""},""PM25"":{""N"":""2.2""}}"
"1638970834075","{""humidity"":{""N"":""0.628892""},""PM10"":{""N"":""8.6""},""temp"":{""N"":""8.380009""},""PM25"":{""N"":""1.5""}}"
"1639247604543","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""12.5""},""temp"":{""N"":""7.776611""},""PM25"":{""N"":""4.6""}}"
"1639015718569","{""humidity"":{""N"":""0.712086""},""PM10"":{""N"":""5.1""},""temp"":{""N"":""5.832699""},""PM25"":{""N"":""2.1""}}"
"1639376916181","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""3.8""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""1.5""}}"
"1638884644814","{""humidity"":{""N"":""0.88839""},""PM10"":{""N"":""9.4""},""temp"":{""N"":""7.901756""},""PM25"":{""N"":""2.6""}}"
"1639294304296","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""12.1""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""1.8""}}"
"1639407444258","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""3""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""1.2""}}"
"1639096530211","{""humidity"":{""N"":""0.998353""},""PM10"":{""N"":""7.4""},""temp"":{""N"":""7.792065""},""PM25"":{""N"":""3""}}"
"1639114483632","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""5.9""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""1.9""}}"
"1639033674448","{""humidity"":{""N"":""0.848871""},""PM10"":{""N"":""6""},""temp"":{""N"":""2.941814""},""PM25"":{""N"":""1.7""}}"
"1638807438778","{""humidity"":{""N"":""0.906607""},""PM10"":{""N"":""8.1""},""temp"":{""N"":""6.115795""},""PM25"":{""N"":""1.8""}}"
"1639254790290","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""24.7""},""temp"":{""N"":""9.428082""},""PM25"":{""N"":""4.3""}}"
"1639292508122","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""7.1""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""2.1""}}"
"1638834363710","{""humidity"":{""N"":""0.886868""},""PM10"":{""N"":""4.4""},""temp"":{""N"":""1.949257""},""PM25"":{""N"":""1.2""}}"
"1639149710347","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""3.9""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""1.1""}}"
"1638890031270","{""humidity"":{""N"":""0.924357""},""PM10"":{""N"":""7""},""temp"":{""N"":""7.637352""},""PM25"":{""N"":""1.1""}}"
"1638827181657","{""humidity"":{""N"":""0.899208""},""PM10"":{""N"":""3.3""},""temp"":{""N"":""2.149181""},""PM25"":{""N"":""1.3""}}"
"1639342791359","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""11.4""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""2.9""}}"
"1639069594541","{""humidity"":{""N"":""0.786828""},""PM10"":{""N"":""15.6""},""temp"":{""N"":""5.680466""},""PM25"":{""N"":""3""}}"
"1639119872531","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""11.9""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""1.8""}}"
"1638938507301","{""humidity"":{""N"":""0.813988""},""PM10"":{""N"":""14.3""},""temp"":{""N"":""4.814384""},""PM25"":{""N"":""1.8""}}"
"1639305079368","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""16.1""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""5.1""}}"
"1639240418185","{""humidity"":{""N"":""0.925402""},""PM10"":{""N"":""18.4""},""temp"":{""N"":""7.0723""},""PM25"":{""N"":""5.2""}}"
"1639076777497","{""humidity"":{""N"":""0.882562""},""PM10"":{""N"":""21""},""temp"":{""N"":""6.812859""},""PM25"":{""N"":""5.4""}}"
"1639382303546","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""6.3""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""1.7""}}"
"1639394872672","{""humidity"":{""N"":""0.999999""},""PM10"":{""N"":""8.8""},""temp"":{""N"":""150.0334""},""PM25"":{""N"":""1.3""}}"
